NU_INSCRICAO,NU_IDADE,TP_SEXO,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q006,Q024,Q025,Q026,Q047
15fb3ba785590aea2be363ee1b189f1e0c38d168,16,2.0,2,3,0,1,498.2,619.9,515.7,390.3,1,140.0,120.0,120.0,120.0,120.0,620.0,5,5,3,2,2,1,1
36c49582ac87ab0169f57407a7030d012e19db0f,18,2.0,1,2,0,2,461.4,587.4,578.4,423.5,1,120.0,120.0,120.0,140.0,120.0,620.0,5,6,4,2,2,1,1
272b3de95fdc0983aa22bd9cffa178a3a362ae43,19,2.0,3,1,1,1,524.5,581.0,586.5,471.1,1,120.0,120.0,120.0,120.0,120.0,600.0,8,5,4,2,2,1,4
0a90fb44346e04615bc4879b2769751e65740f7e,21,1.0,2,1,3,1,412.6,396.3,443.2,354.6,1,80.0,80.0,60.0,60.0,40.0,320.0,4,7,4,1,1,2,1
45baf0018e09111593b980febba5122c6045203b,19,1.0,1,2,0,2,366.7,424.2,450.4,345.7,0,80.0,100.0,80.0,80.0,40.0,380.0,3,3,2,1,1,1,1
1495c703543bb33d4b2a3a38075e9102541d872d,18,2.0,2,3,0,1,440.3,493.9,536.4,443.8,1,80.0,120.0,120.0,80.0,20.0,420.0,8,8,3,1,1,1,1
99b9a595ef66afd906ff6cc1924b8aec91d569ac,18,2.0,1,1,1,1,377.9,527.3,493.6,629.3,0,120.0,100.0,80.0,100.0,60.0,460.0,5,5,3,2,1,2,1
89b718d7a23461843c46a4e7e3b44bda0b0152bf,21,1.0,3,1,2,1,595.1,565.7,577.4,393.6,1,100.0,120.0,120.0,120.0,100.0,560.0,2,5,4,2,2,3,1
2811fcc8205f513d44f523a753e74e6cc593a4f9,18,1.0,3,2,0,2,561.1,610.8,607.5,708.5,1,120.0,100.0,120.0,80.0,100.0,520.0,6,6,8,2,2,1,1
9061a9d12293f7a706455370a3c7db1093a86775,20,1.0,3,1,1,1,384.5,512.4,527.4,371.8,1,120.0,120.0,120.0,100.0,100.0,560.0,3,4,2,1,1,2,1
74106591d629e3d8bae3a811a6340f7e31f56ff0,19,2.0,3,3,0,1,419.9,467.9,387.4,378.7,1,140.0,120.0,120.0,120.0,100.0,600.0,8,3,1,1,1,1,1
2c28ebcabc43052f3029141fa6bec9bdef65dae6,18,2.0,1,1,1,1,460.9,468.0,516.4,468.5,0,140.0,140.0,120.0,120.0,120.0,640.0,2,4,2,1,1,2,1
b7c29a61f67a7b11a811dd41db7f6cc18cee1082,19,2.0,1,1,1,1,596.2,610.4,562.7,728.3,0,140.0,160.0,160.0,160.0,160.0,780.0,7,6,9,2,2,1,4
546520198f2a8f443f61687181896c7a91614265,17,1.0,3,2,0,2,443.8,470.9,503.5,434.2,1,80.0,80.0,40.0,80.0,80.0,360.0,5,5,4,1,1,2,1
00fad6ffd37a5fcd02b67623b5141406caf0ffc0,16,2.0,1,3,0,1,493.5,504.1,431.9,414.1,1,120.0,100.0,80.0,120.0,80.0,500.0,3,3,2,1,1,1,1
3d45dffbb8f5c2535e2b46228dde95f0c5a4bc00,18,1.0,2,3,0,1,482.2,590.8,604.4,457.8,0,120.0,60.0,40.0,80.0,60.0,360.0,8,4,4,2,2,1,1
42c347cc2d5a972008ab3fef158bec426fc32d22,16,2.0,3,2,0,3,446.0,518.9,530.2,370.8,1,140.0,140.0,120.0,120.0,120.0,640.0,5,5,7,2,2,1,4
1184e759ab3abac459311e19e2d4f1773bf1bd41,16,2.0,2,3,0,1,437.3,449.1,521.7,412.4,0,120.0,120.0,80.0,120.0,60.0,500.0,2,4,4,2,2,1,1
d11f15d217391ddc98d0007cabc4c21f9438b55b,17,2.0,2,2,0,2,434.9,475.2,546.8,355.6,0,120.0,120.0,80.0,120.0,140.0,580.0,3,3,9,3,2,3,1
75863688688db57afb85d45f3a0f8359b4a3f256,23,1.0,3,1,5,1,438.4,441.4,507.0,401.6,1,120.0,80.0,120.0,80.0,40.0,440.0,4,4,2,2,1,1,1
84d341e1ac9c010aa58f782766258ef3f097a6b7,18,1.0,3,1,1,1,367.1,526.4,532.0,492.8,0,120.0,160.0,120.0,120.0,80.0,600.0,5,4,8,3,2,3,1
c0971b9328ab9ffaf2054856c98080d6070541ae,22,2.0,2,1,3,1,393.9,492.3,517.3,407.6,1,120.0,80.0,60.0,100.0,60.0,420.0,3,5,3,2,2,2,1
a10aff56c82f1bcb0a43c0aca5061901f21a4dac,16,2.0,1,3,0,1,414.3,534.0,524.5,513.0,1,120.0,120.0,120.0,140.0,100.0,600.0,3,3,8,2,2,1,4
a6905d20876982ff0006a442533a58cbb39da4c5,27,1.0,3,1,9,1,477.9,484.2,489.7,604.9,1,140.0,100.0,80.0,100.0,80.0,500.0,3,4,4,1,1,2,1
48e9256e4da87667fae37924792e56e197a4dd88,37,2.0,1,1,10,1,494.1,587.5,546.6,495.3,1,120.0,120.0,120.0,80.0,100.0,540.0,5,3,7,2,2,2,1
ad810c209e89e9b5e2080eefead70a0f0027c30c,17,1.0,3,2,0,2,391.1,570.4,511.2,397.3,1,100.0,40.0,80.0,80.0,60.0,360.0,8,3,2,1,1,1,1
b77d99ff8ee7781a40175b2e1e4dc011e63f1920,18,2.0,1,2,0,2,405.7,476.4,464.7,344.1,1,100.0,100.0,80.0,80.0,40.0,400.0,2,5,4,1,1,1,1
231c9a3c08249643f87ed59301e84e7605b2176f,17,1.0,3,2,0,2,443.0,521.8,526.0,397.0,1,120.0,100.0,120.0,120.0,80.0,540.0,5,5,2,1,1,1,1
129d6daf0892c79c68c98ea20f8197645b21b221,18,2.0,3,1,1,1,444.3,509.1,530.1,488.3,1,120.0,120.0,100.0,120.0,80.0,540.0,5,5,2,1,1,1,1
d1aba323399aba7434327ab725bbc2d5682316bf,37,2.0,3,1,1,1,401.8,487.6,444.6,363.1,1,100.0,100.0,100.0,120.0,140.0,560.0,2,3,2,2,2,3,1
272ee225651d10cf558d114ce37c5189da942a62,21,2.0,3,1,3,1,457.0,538.6,555.2,418.0,1,160.0,140.0,120.0,120.0,120.0,660.0,1,3,3,1,1,2,1
4d288c96983da75bb8c3983063becbdb867ace89,32,1.0,3,1,9,1,475.7,547.4,483.5,503.0,0,120.0,100.0,120.0,120.0,60.0,520.0,3,3,2,1,1,2,1
247c20a9befc204fb261300c33ea0cef3f1d0b7d,17,2.0,3,2,0,2,459.2,505.6,456.0,507.8,0,80.0,80.0,80.0,80.0,0.0,320.0,2,3,2,1,1,1,1
6169fb11c0c3d6cc7b51edc48b068f948389c40b,18,2.0,3,2,0,2,382.4,368.3,482.0,392.4,1,120.0,120.0,120.0,100.0,60.0,520.0,2,2,2,1,1,1,1
bad54913c91cb3f2993dea3652a90be28570a247,30,2.0,1,1,10,1,460.7,505.8,448.2,351.3,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,1,1,3,1
473fac1a473fc1acbb11e9602f39b135a3c9d9aa,18,1.0,3,3,0,1,462.8,524.6,498.6,418.9,1,140.0,120.0,80.0,120.0,60.0,520.0,4,4,2,2,2,1,1
28d46528baddeda8c5c1951536a238d791cfa9f8,18,1.0,3,2,0,2,431.1,431.7,467.8,413.0,1,0.0,0.0,0.0,0.0,0.0,0.0,8,8,2,1,1,1,1
6aea69cd043e47f99f5dc98264805ab85f0b6231,20,1.0,1,1,2,1,413.1,541.7,564.2,421.0,1,80.0,100.0,80.0,100.0,80.0,440.0,3,4,7,2,2,3,1
9d7bf0f9c4eef2cee9f111baefe4e9fe17a8bdbd,26,1.0,1,1,6,1,444.7,412.6,382.5,433.8,1,80.0,40.0,60.0,60.0,20.0,260.0,4,2,2,2,2,2,1
208e05b2a1bb30f66d509e5f53a8e126fecf8d6a,17,2.0,3,2,0,2,456.7,528.5,456.5,429.0,1,120.0,120.0,120.0,120.0,100.0,580.0,1,4,2,1,1,1,1
f02d83027c206dc62f6051b098fe57514a512648,18,1.0,1,1,1,1,591.8,625.3,591.7,650.0,0,160.0,160.0,160.0,160.0,120.0,760.0,7,6,15,3,2,1,5
1a2b323760650526e617eee8e9b74f5accc8677f,42,2.0,1,1,10,1,510.0,543.2,575.7,496.7,0,160.0,120.0,120.0,140.0,20.0,560.0,3,3,7,2,1,2,1
b385375f93bf3c8cd9c1c99d0f136b1d718aafaa,20,1.0,1,4,0,1,435.5,557.9,530.3,487.8,1,120.0,80.0,80.0,60.0,40.0,380.0,8,8,7,2,2,1,1
f46312530d2396d3e19b4f871c08c69af169e61e,19,2.0,1,1,3,1,432.7,578.4,546.8,408.4,1,120.0,120.0,120.0,120.0,60.0,540.0,3,3,5,2,1,3,1
db3d90f89c29a36e60a2fa1f8312dff684a8c7ca,20,2.0,1,3,0,1,383.1,566.5,404.0,380.7,1,140.0,160.0,120.0,120.0,80.0,620.0,4,5,2,2,2,2,1
6cf3b5ed0cc238c2187d949eb1b4448e980e3da8,19,2.0,2,1,2,1,452.7,620.1,617.7,400.0,1,120.0,140.0,140.0,140.0,100.0,640.0,8,3,5,2,2,3,1
a7f39916fea1e145dfede35799c94998938c7b50,22,2.0,2,1,5,1,383.2,495.6,492.3,371.1,1,120.0,120.0,120.0,120.0,40.0,520.0,2,5,6,2,2,3,1
ec425f49307805a69a22c5e48a6f7b2375375b61,17,2.0,1,2,0,2,442.5,555.5,486.0,411.8,0,140.0,140.0,120.0,120.0,160.0,680.0,4,2,3,1,2,1,1
9dde22272c72904e4d722d23b2c0f98c59820691,17,1.0,3,2,0,2,390.1,577.9,455.0,575.0,0,120.0,120.0,120.0,120.0,120.0,600.0,3,2,5,1,1,2,1
61a7418ba4149a3d35cf82235c6d775a4167becb,17,2.0,1,2,0,2,471.8,535.9,555.5,408.6,1,160.0,140.0,120.0,140.0,120.0,680.0,5,6,7,1,2,1,1
693e5ddade1cea23d6f3bf9c19be79aa07c458a0,17,2.0,3,2,0,2,383.7,520.6,544.7,378.4,0,100.0,80.0,80.0,80.0,20.0,360.0,2,3,4,2,2,1,1
5d409df3b610ca98c29f339a2b9e48965f7dcdd1,19,1.0,0,2,0,2,541.1,557.9,576.9,457.4,0,120.0,120.0,140.0,120.0,80.0,580.0,2,4,7,2,2,2,1
6698841b20a8b8109a62ad87c39b775f9587acd0,44,2.0,1,4,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,1,1,3,1
9f3154f46424b7847fcc22640b8de69c4db14ddc,17,2.0,1,3,0,1,575.5,605.2,606.9,708.2,0,140.0,120.0,100.0,80.0,120.0,560.0,5,7,8,2,2,3,4
f0877a18e15982d733e9aeca82bbcb2a161917e8,18,2.0,1,2,0,2,454.2,433.0,485.2,445.3,1,120.0,120.0,80.0,120.0,80.0,520.0,3,3,5,1,2,2,1
aa16a27c710933541bedd77943eab6beb6218728,17,2.0,3,2,0,2,582.2,602.8,599.4,496.1,1,160.0,160.0,160.0,180.0,180.0,840.0,3,5,3,2,2,1,1
9ff200dba2915df2a66ef68e2705e8aa0d17ad24,19,2.0,3,1,1,1,542.1,610.3,583.3,499.7,0,160.0,200.0,200.0,180.0,200.0,940.0,5,3,7,2,2,1,1
f17bbe8db9aa99451eeac1f52d580a35999d720e,17,2.0,2,3,0,1,438.7,446.1,470.1,345.8,0,100.0,80.0,60.0,80.0,20.0,340.0,8,8,2,1,1,1,1
dd0c57d54e154ae5c01ea4174f4dfe4990ffda07,26,2.0,3,1,9,1,373.7,594.7,543.0,540.2,1,120.0,120.0,120.0,160.0,120.0,640.0,2,4,3,2,1,2,1
e61f329517670fdd3f308258e43c37fc12642e69,16,1.0,1,2,0,2,509.2,575.1,548.5,540.5,1,120.0,120.0,120.0,120.0,80.0,560.0,3,5,7,2,2,1,1
edb8ce295c9abc8a873f4424d995784b6ff58b0b,19,1.0,2,2,0,2,477.9,569.7,529.6,408.3,0,80.0,120.0,120.0,120.0,100.0,540.0,2,2,3,2,2,1,1
0c5e5107e61c051809c72a731f646ec08b424b93,27,2.0,3,1,9,1,490.8,543.4,562.6,399.3,1,140.0,120.0,120.0,120.0,60.0,560.0,2,5,2,1,1,2,1
e1511a8e927cc21c5b23587d397789491d1ad916,16,2.0,3,3,0,1,516.2,507.6,444.3,363.4,1,120.0,120.0,120.0,120.0,80.0,560.0,4,4,3,3,2,1,1
92282a1d27d299c7bfc377a814e7bd78c0ef3d32,17,2.0,3,2,0,2,455.6,587.1,574.1,538.3,1,120.0,120.0,120.0,160.0,160.0,680.0,3,4,4,1,1,1,1
1e8cf6295d7a2c1f1f7a8e654e7d0bb9942e20cb,20,2.0,3,1,3,1,515.6,547.1,475.5,403.9,1,120.0,120.0,100.0,100.0,80.0,520.0,5,5,2,2,1,2,1
fb434bfad5c0db89bec493ee50c939fdb02d2f6e,34,2.0,3,1,10,1,485.2,558.7,552.6,438.6,1,140.0,120.0,100.0,140.0,80.0,580.0,1,1,4,1,1,3,1
7bec1e065095abd13da928acd485ab71e5eabcfb,20,1.0,2,1,2,1,469.5,479.9,455.6,437.1,1,120.0,120.0,120.0,120.0,40.0,520.0,5,2,2,2,2,2,1
a1619705b57c0be2f9408d4d1fc1db1f065ce13e,24,1.0,3,1,4,1,483.0,514.2,424.5,443.3,0,120.0,100.0,100.0,100.0,80.0,500.0,2,4,2,1,1,1,1
bd9c2b0dbe1916a675895666caf69e0df9dd7b22,17,2.0,1,2,0,3,635.8,649.6,636.7,724.1,0,160.0,160.0,160.0,160.0,140.0,780.0,5,7,9,4,2,1,4
d5133b425c6fbeba4173f47f18e6412666646ddd,19,2.0,3,1,1,1,387.0,459.9,455.1,501.7,1,100.0,120.0,120.0,120.0,120.0,580.0,4,4,3,2,2,2,1
861e1d13ac4ee778ad76ff33a93f399004221278,20,2.0,3,2,0,2,429.8,568.9,570.6,626.0,1,100.0,80.0,100.0,100.0,20.0,400.0,8,8,4,1,1,1,1
b2e643a538180ab8bc1868a96a22d48d80c080dd,17,1.0,1,2,0,2,435.7,533.5,544.2,405.1,0,140.0,120.0,100.0,120.0,40.0,520.0,2,5,4,1,1,1,1
1b569248445c52edb114e326e66110018229b00d,52,2.0,1,1,10,1,416.3,665.6,568.5,351.5,1,120.0,160.0,140.0,160.0,140.0,720.0,6,5,9,2,2,3,1
53f72aae18be71e50123aede98c2286902d40ef5,24,2.0,3,1,6,1,398.6,479.7,495.8,433.2,1,100.0,100.0,100.0,120.0,100.0,520.0,8,4,2,1,2,3,1
f4312979d3a9245a11686e74552a2f235425c8ed,15,2.0,2,3,0,1,557.8,603.3,574.6,590.1,0,120.0,120.0,120.0,120.0,120.0,600.0,1,5,2,1,1,1,1
b4a0df58cade1c3467b12052df84b1f64d6aa605,18,2.0,3,2,0,2,414.4,450.5,379.6,443.7,0,120.0,120.0,80.0,80.0,40.0,440.0,2,5,2,2,2,1,1
e3f149e277ebf61924972fe87fa4ee816950f493,21,1.0,3,1,2,1,431.9,591.1,493.4,372.2,0,120.0,120.0,100.0,120.0,80.0,540.0,3,5,2,2,2,2,1
a5f4a62d6ed268da4ae565effbde9e65278253cb,19,2.0,1,1,2,1,653.2,703.6,623.8,664.6,0,140.0,120.0,120.0,180.0,180.0,740.0,7,6,14,2,2,1,4
d0573631ad8f7665d389f30949fa604a1c17185c,22,1.0,3,1,2,1,468.5,351.0,373.0,490.2,1,120.0,80.0,80.0,120.0,40.0,440.0,5,3,3,2,2,3,1
acd871097b033a83ee458aaee2c66d5bc395027e,21,2.0,3,1,4,1,436.6,511.9,569.0,420.6,0,120.0,100.0,100.0,100.0,40.0,460.0,3,3,2,1,1,1,1
056f5b129ee281a862945f4d05e57d909c84de44,21,2.0,3,1,4,1,512.3,486.9,516.5,416.8,1,120.0,120.0,120.0,120.0,80.0,560.0,4,5,3,1,2,2,1
b0d94e0a86684b316989083d8e581d064413fe59,16,2.0,2,2,0,2,512.0,635.0,578.5,501.0,0,120.0,120.0,80.0,100.0,100.0,520.0,5,5,3,2,2,1,1
8bfbb04267b3a22be2aa4c532561ef0ade2c63f8,17,1.0,1,2,0,3,565.2,583.5,570.7,676.0,0,160.0,80.0,100.0,80.0,80.0,500.0,5,5,4,2,1,1,5
ff42818829a5fdb786e58b4a8799183c97cd005e,22,2.0,3,1,1,1,416.8,550.0,488.8,456.8,1,140.0,120.0,120.0,120.0,60.0,560.0,2,2,3,1,2,2,2
0d82ebb403cc907b042ba68583db34cf91381eac,19,1.0,2,3,0,1,438.1,425.9,505.5,423.9,1,80.0,80.0,40.0,40.0,20.0,260.0,8,2,3,1,1,1,1
a90dcc63e4edaf1a6bfefc1e75989fab0440d3ce,17,2.0,1,2,0,2,401.8,486.3,520.1,333.8,1,120.0,120.0,120.0,120.0,80.0,560.0,6,6,4,2,2,1,1
6d1b4e3811f2f5a30453c844ae4bdcb65deb8e4e,18,2.0,1,2,0,3,411.0,517.4,516.2,451.2,1,120.0,120.0,100.0,100.0,80.0,520.0,6,5,2,1,1,1,4
346b0c0a61fea016a8126f0e5e8939eb3232ba1e,19,2.0,3,2,0,2,445.7,410.3,372.0,446.1,1,100.0,100.0,80.0,120.0,100.0,500.0,2,3,2,1,1,1,1
87d0b611ce5547590bcae08369197339ad32afc5,16,2.0,1,2,0,2,535.4,588.2,575.1,366.9,0,80.0,80.0,120.0,100.0,100.0,480.0,2,5,2,1,1,1,1
7d7b7990763af03f52a68e30ca6f11b8d7c2ce05,18,2.0,2,1,1,1,440.8,520.9,414.6,502.8,1,160.0,120.0,120.0,160.0,120.0,680.0,3,2,1,1,1,1,1
a4597468a677a40f5f065610aa28fcc2c3838ebd,18,1.0,3,2,0,2,385.1,464.8,450.3,488.5,1,120.0,100.0,100.0,100.0,40.0,460.0,5,6,3,1,2,1,1
125c45ac026f83535195ece61d2fcbd7d7aaaae0,16,2.0,2,2,0,2,394.0,481.4,490.2,556.7,0,120.0,100.0,100.0,120.0,40.0,480.0,1,1,2,1,1,1,1
59dbe08f54be241885399789426c1fbcb6ed0867,18,1.0,3,3,0,1,463.9,531.2,423.4,494.4,0,80.0,80.0,80.0,80.0,80.0,400.0,5,5,4,2,2,1,1
6e8a48f942f8c2cc1f05482c16d28a31d987c5a0,30,2.0,3,1,1,1,451.5,478.7,527.2,454.3,1,100.0,100.0,100.0,100.0,20.0,420.0,1,2,2,1,1,2,1
dc9f3909aa84b1271eb1dc6dec088b9bfbf75587,37,2.0,3,1,10,1,470.4,478.9,539.3,394.2,1,140.0,120.0,160.0,160.0,120.0,700.0,2,3,3,2,1,3,1
5fad4c8c56dfdf6e7800a3ba5eae6de2bd459b67,17,2.0,1,2,0,2,428.6,622.1,495.4,509.6,1,120.0,120.0,120.0,120.0,100.0,580.0,2,7,8,3,2,1,1
eb10fc96135fd7cd1d7c876451a062bde07051ae,17,2.0,1,2,0,2,546.1,585.4,575.4,568.2,0,140.0,160.0,140.0,120.0,160.0,720.0,4,4,3,2,2,2,1
ce187976d244a123743fb09b950cf49b12b2b679,17,2.0,1,3,0,1,532.4,532.3,497.4,415.2,1,140.0,120.0,120.0,120.0,120.0,620.0,3,4,3,1,1,1,1
f60f16f31f37449eb3b002aac4db0fbde2d2b33a,17,2.0,3,2,0,2,535.6,507.7,495.9,445.3,0,120.0,100.0,100.0,120.0,100.0,540.0,2,4,3,1,1,1,1
3470b3bb5604291e07897afb918534cd5d386364,16,1.0,3,3,0,1,453.9,437.0,387.0,441.9,1,80.0,80.0,60.0,60.0,0.0,280.0,4,6,4,2,2,1,1
67b08e14867ede6e7fe33926ceb9161f7e0c66ae,18,1.0,2,2,0,2,466.0,552.1,544.3,538.3,0,80.0,120.0,80.0,100.0,100.0,480.0,5,3,4,2,2,2,1
08818ae315fbb1a1c9c50a007d872cb72278463e,22,1.0,1,4,0,1,553.4,553.2,542.7,548.8,1,120.0,80.0,80.0,120.0,40.0,440.0,5,4,3,2,2,3,1
a40af8a0f8734b5be92ba7f16dd72f3ddbc05c7b,18,2.0,3,2,0,2,425.4,486.6,522.9,465.3,0,120.0,120.0,120.0,120.0,40.0,520.0,8,8,2,1,1,1,1
44655faaf1acb01e9fc70ad6b77ad0239c5fef56,16,2.0,3,3,0,1,412.7,492.6,454.8,367.1,0,100.0,100.0,120.0,100.0,60.0,480.0,3,4,2,2,2,1,1
95451722fb1b782909b3df3ffc703a88fb12b313,36,2.0,3,1,10,1,448.1,521.1,515.4,383.8,1,120.0,100.0,100.0,100.0,80.0,500.0,3,1,4,2,2,3,1
63dc1b437d96b6a146d210aa8f972b832410e224,22,2.0,1,1,5,1,541.9,626.0,620.7,571.8,0,160.0,120.0,120.0,140.0,80.0,620.0,5,5,4,2,2,3,4
67496ec5a22717043ce613cce28c2d5b02be2ef7,19,1.0,3,1,2,1,478.1,573.2,553.8,463.1,0,120.0,160.0,160.0,120.0,80.0,640.0,3,4,3,2,2,1,1
